No,Title,Lyric,Anak,Remaja,Dewasa
11,Lirik Lagu Anak Monyet - Lagu Sekolah Minggu,Anak monyet di atas pohonAnak burung di dalam sangkarAnak cacing di dalam tanahAnak Tuhan di sekolah minggu,1,0,0
12,Lirik Lagu Anak Negeri - Katon Bagaskara,Menghirup bau rumputanDi tengah pegunungan hijauBatinku tersenyum mesra kepadamuDi pantai temui ombakSurya merah tenggelamDuhai pesona mewarna jiwa kepadamuTanahku alam persadaDimana tangisan pertamaMembelah keheningan jadi bahagiaKuterlahir tuk bermaknaMenatap ragam budayaSantun hati insan nan ramahSelalu dijunjung tinggiCitra hati bela bangsaTanahku bumi persadaDentuman di jantung berkataKubangga tegak dan membusungkan dadaAnak Negeri pertiwi,1,0,0
13,Lirik Lagu Anjing kecil - Lagu Anak Indonesia,Aku punya anjing kecilKuberi nama HellyDia senang bermain-mainSambil berlari-lariHelly Guk Guk GukKemari Guk Guk GukAyo lari-lariHelly  Guk  Guk  GukKemari Guk Guk GukAyo lari-lari,1,0,0
14,Lirik Lagu Awan - Lagu Anak Indonesia,Kulihat awanSeputih kapasArak berarak dilangit luasAndai kudapat kesana terbangAkan kuraih kubawa pulang,1,0,0
15,Lirik Lagu Bagi Dua - Christina,"Kusayang mamaKusayang papaDua-duanya sama nilainyaLa-la-la-la-la-la-laLa-la-la-la-la-la-laSayangku... bagi duaCintaku... bagi duaKasihku... bagi duaRinduku... bagi duaLima puluh tuk mamaLima puluh tuk papaDua-duanya samaSeratus bagi dua ya ya lima puluh, lima puluhSayangku...bagi duaGemesku...bagi duaKangenku..bagi duaSemua... bagi duaPipi... kananku, tuk dicium mamaPipi... kiriku, tuk dicium papaSeratus dibagi dualima puluh, lima puluhSayangku... bagi duaCintaku... bagi duaKasihku... bagi duaRinduku... bagi duaLima puluh tuk nenekLima puluh tuk kakekDua-duanya samaSeratus bagi dua ya ya lima puluh, lima puluh",1,0,0
16,Lirik Lagu Bagi Teman Kami - Joshua,Bagi teman kami yang sedang sakitKami mendoakan padamu TuhanBeri kesembuhan dengan rahmat-MuAgar esok hari dapat sekolah pulaBagi teman kami yang sedang sakitKami mendoakan padamu TuhanBeri kesembuhan dengan rahmat-MuAgar esok hari dapat sekolah pulaBeri kesembuhan dengan rahmat-MuAgar esok hari dapat sekolah pula,1,0,0
17,Lirik Lagu Balita - Fariz RM,Hari-hari semakin tinggiJauh beranjak pergiSeakan tak kuasaMenghadapi segalanyaSuasana berganti senduAlam pun nampak raguSementara kau lahirDalam kemelut ini Apa yang kan terjadi nantiTiada kau sadariDalam jiwa sucimuYang penuh bencanaHarus sanggupkahDirimu nantiMenghalau bencanaAtau warisan yang mulai ternoda diriSayup-sayup tangismu datangHanyut di malam sepiMengisi lembar usiaPolos pasrah dan hangatDalam tawa terungkap pulaKebebasan yang nyataTak perdulikan waktu atau batasan diriTak kan mungkinTerjawab juaApakah yang adaDalam akal pikiranmu saat iniOh... Adakah tindakan kitaKau rasakan bagaiKisah bunda menjelang tidur siang dan malamOh... Yang akan kembali lagiWalau mungkin bukan milik kita pula dan jadi ceritaOh... Padamu tumpuan bangsaDi kemudian hariUntuk melanjutkan cita-cita kitaApapun nanti tantangan ituMenjadi bekal kehidupanMaha takdir lingkungan palsuOh... TuhankuBiarkan dia tumbuh dan dewasaUntuk menghapuskan tanda tanyaKita semua,1,0,0
18,Lirik Lagu Balonku - Lagu Anak Indonesia,"Balonku ada limaRupa-rupa warnanyaHijau, kuning, kelabuMerah muda dan biruMeletus balon hijau DorHatiku sangat kacauBalonku tinggal empatKupegang erat-erat",1,0,0
19,Lirik Lagu Bangun Pagi - Lagu Anak Indonesia,"Satu dua, tiga empatLima Enam, tujuh delapanSiapa rajin ke sekolahCari ilmu sampai dapatSungguh senangAmat senangBangun pagi pagiSungguh senang",1,0,0
20,Lirik Lagu Bangun Tidur - Lagu Anak Indonesia,Bangun tidur ku terus mandiTidak lupa menggosok gigiHabis mandi ku tolong ibuMembersihkan tempat tidurku,1,0,0
21,Lirik Lagu Bebek Bebekku - Vien Is Haryanto,Bebek-bebekku mari kemariIkutlah aku ke kebun bibiDisana banyak kesukaanmuCacing yang gemukOh.. ayo diserbuBerebut.. berebut.. Sungguh ramainyaKwek kwek kwekKwek kwek kwek Bersuka ria,1,0,0
22,Lirik Lagu Berenang - Joshua,Bur cebar-cebur hobiku renangBur cebar-cebur renang di kolamAku bisa gaya kodokJuga gaya punggungYang nggak bisa eh..gaya botolNak enak-enak berenang rame-rameSik asyik-asyik memang asyikNak enak-enak berenang rame-rame biar badan tetap sehatBur cebar-ceburCebar-cebur,1,0,0
23,Lirik Lagu Bermain - Lagu Anak Indonesia,"Petik rambutan bungkus di kainBelilah kain buatan BangkaAyolah kawan kita bermainKita bermain bersama-samaAyo ayo ayo, lari lari lariAyo lari jangan berhentiAyo ayo ayo, lari lari lariAyo lari jangan berhentiHelly guk guk guk",1,0,0
24,Lirik Lagu Bintang Kecil - Lagu Anak Indonesia,"Bintang kecil, di langit yang tinggiAmat banyak, menghias angkasaAku ingin, terbang dan menariJauh tinggi ke tempat kau berada",1,0,0
25,Lirik Lagu Bintang Kejora - Lagu Anak Indonesia,Ku pandang langit penuh bintang bertaburanBerkelap kelip seumpama bintang berlianTampak sebuah lebih terang cahayanyaItulah bintangkuBintang Kejora yang indah selalu,1,0,0
26,Lirik Lagu Bunda Piara - Lagu Anak Indonesia,Bila kuingat lelahAyah bundaBunda piara piara akan dakuSehingga aku besarlahWaktuku kecil hidupkuAmatelah senangSenang dipangku dipangku dipeluknyaSerta dicium dicium dimanjakanNamanya kesayangan,1,0,0
27,Lirik Lagu Bunga Hiasan - Lagu Anak Indonesia,Bunga-bunga di dalam tamanBeraneka warna untuk hiasanKupetik bunga untuk kenanganUntuk ibu dan handai taulan,1,0,0
28,Lirik Lagu Bungaku - Lagu Anak Indonesia,Waktu menyingsing fajarPagi sunyi senyapMatahari bersinarMengganti malam gelapNampak sekuntum bungaDi muka rumahkuKepala Mas JuitaDaunnya beledu,1,0,0
29,Lirik Lagu Burung Hantu - Lagu Anak Indonesia,"Matahari terbenam, hari mulai malamTerdengar burung hantu, suaranya merduKukuk, kukuk, kukuk kukuk kukukKukuk, kukuk, kukuk kukuk kukuk",1,0,0
30,Lirik Lagu Burung Kakaktua - Lagu Anak Indonesia,Burung kakaktuaHinggap di jendelaNenek sudah tuaGiginya tinggal duaTrek-jing... trek-jingTrek-jing tra-la-laTrek-jing... trek-jingTrek-jing tra-la-laTrek-jing... trek-jingTrek-jing tra-la-laBurung kakaktua,1,0,0
31,Lirik Lagu Burung Kecilku - Christina,Burung kecilkuJangan kau bersedihAyo nyanyikanLagu yang merduLagu yang selaluEngkau dendangkanDi pucuk pohon yang rindangSaat terbit sang matahariBurung kecilkuAndaikan tak bahagiaHidup terkurungDi sangkar yang indahKurela melepasmuKe alam luasWalau berat hatikuKarena ku menyayangimuTerbang... terbanglah jauhNikmati kebebasanmuTerbang... kejarlah temanmuBermain di langit biruTerbang... kepakkan sayapmuKembali ke alam bebasTerbang... bersama temanmuCeriakan... alam negeriku,1,0,0
32,Lirik Lagu Burung Kutilang - Lagu Anak Indonesia,"Di pucuk pohon cempakaBurung kutilang berbunyiBersiul, siul sepanjang hariDengan tak jemu jemuMengangguk angguk sambil berseru trilili lili lililiSambil berlompat lompatanParuhnya selalu terbuka di geleng gelengkan kepalanyaMenentang langit biru tandanya ia suka berseru trilili lili lililiAku hendak ke pekan mau beli ikanKu masak dengan santan untuk ayah makanIni ikan tengiri siapa yang punyaAku hendak memberi murahkan harganyaIni uang setali jangan ikat lagiHari sudah tinggiBunga di dalam taman ku merah putih kuning ungu setiap hari ku .........",1,0,0
33,Lirik Lagu Burung Unta - Lagu Anak Indonesia,Ada sebangsa burungYang tidak bisa terbangTubuhnya sangat jangkungSeperti naik engrangPanjanglah kakinyaPanjanglah lehernyaDatang dari AfrikaItulah burung unta,1,0,0
34,Lirik Lagu Cibang Cibung - Joshua,"Cibang-cibung cibang-cibungCebar-cebur cebar-ceburBiar cakap biar bersih biar aksiAku mau mandiCibang-cibung cibang-cibungCebar-cebur cebar-ceburPakai shampo pakai sabunPakai bedak ah...ku jadi wangiMama mana bajunyaMana celana akuSekarang aku telah rapihSekarang aku mau aksiJangan lupa sisir rambut, pakai dasi topi juga boleh",1,0,0
35,Lirik Lagu Cicak Cicak Di Dinding - Lagu Anak Indo,Cicak-cicak di dindingDiam diam merayapDatang seekor nyamukHap... lalu ditangkap,1,0,0
36,Lirik Lagu Cit Cit Cuit - Joshua,"Cit..cit cuit..cit..cit..cuitBurung bernyanyi tok..tok..tokPeto..tok..tok..tok..petok ayamBertelur..wek..wek..wek..kowekWek..wek..wwek..kowek bebekBerenang sapi berendamKambingpun ikut senangAyo hai kawan jagalahSatwa macan, kijang, gajahJuga harus dijaga janganDitembak jangan diburuLindungilah semua satwaCiptaan Tuhan",1,0,0
37,Lirik Lagu Desaku - Netral,Desaku yang kucintaPujaan hatikuTempat ayah dan bundaDan handai taulankuTak mudah kulupakanTak mudah berceraiSelalu kurindukanDesaku yang permai,1,0,0
38,Lirik Lagu Di Doa Ibuku Namaku Disebut - Joshua,"Di waktu ku masih kecil, gembira dan senangTiada duka ku kenal, tak kunjung mengerangDi sore hari nan sepi....ibuku bertelutSujud berdoa ku dengar namaku disebutDi doa ibuku, namaku disebutDi doa ibuku ku dengar, ada namaku disebutSering ini ku kenang, di masa yang beratDi kala hidup mendesak dan nyaris ku sesatMelintas gambar ibuku, sewaktu bertelutKembali sayup ku dengar namaku disebutDi sore hari nan sepi... ibuku bertelutSujud berdoa ku dengar namaku disebutDi doa ibuku, namaku disebutDi doa ibuku dengar ada namaku disebutAda namaku di sebutSekarang dia telah pergi ke rumah yang tenangNamun kasihnya padaku selalu ku kenangKu lintas gambar ibuku sewaktu berteduhKembali sayup kudengar... namaku disebut..",1,0,0
39,Lirik Lagu Di Stasiun Kereta Api - Tasya,Di stasiun di stasiunSungguh ramai sekaliHiruk pikuk semua sibukDi sepanjang peronAda yang berpergianAda yang menjemputAda pula yang mengantarDi stasiunDi stasiun di stasiunRamai sepanjang hariKereta api silih bergantiDatang dan berangkatSemua menurut jadwalTeliti dan tepatSemua tertib dan teraturDi stasiunKereta apiku lari dengan kencangMelintas sawahBukit serta ladangAngin mengejar mencoba mengalangKereta apiku laju bagai terbangLarilah cepat hai kereta apikuBawaku seg'ra ke tempat ku tujuJika kau tampak kampung halamankuBunyikan nyaring seruling keretamuKereta apiku lari dengan kencangMelintas sawahBukit serta ladangAngin mengejar mencoba mengalangKereta apiku laju bagai terbangLajulah laju...Kereta apiku...Lajulah laju...Kereta apiku...Lajulah laju...,1,0,0
40,Lirik Lagu Dua Mata Saya - Lagu Anak Indonesia,Dua mata sayaHidung saya satuDua kaki saya pakai sepatu baruDua telinga saya yang kiri dan kananSatu mulut sayaTidak berhenti makan,1,0,0
41,Lirik Lagu Gatotkaca - Bembi,"Otot kawat tulang besiPendekar kuat sangat beraniOh gatotkaca terbang ke angkasaCari musuhnya untuk diadiliBerlambang bintang oh di dadanyaBaju lapis emas dan bermahkitaOh gatotkaca, oh gatotkacaSi gatotkacaDia tolong siapa sajaTanpa harapkan suatu imbalanOh gatotkaca satria sejatiTak pernah mati selalu abadiTokoh khayangan yang jadi legendaSelalu dikenang dan disegani",1,0,0
42,Lirik Lagu Gelang Sipaku Gelang - Lagu Anak Indone,Gelang sipaku gelangGelang si rama ramaMari pulangMarilah pulangMarilah pulangBersama-samaMari pulangMarilah pulangMarilah pulangBersama-samaSayonara sayonaraSampai berjumpa pulangSayonara sayonaraSampai berjumpa pulangBuat apa susah Buat apa susahSusah itu tak ada gunanya,1,0,0
43,Lirik Lagu Hati-Hati Gunakan Badanmu - Joshua,Matamu yang kecil awaslahJangan sampai kau melihat yang salahKarena Tuhan melihat semua yang engkau lihatMatamu yang kecil awaslahMulutmu yang kecil awaslahJangan sampai kau berucap yang salahKarena Tuhan mendengar semua yang kau ucapkanMulutmu yang kecil awaslahHati-hati gunakan badanmuJangan sampai kau berbuat yang salahKarena Tuhan melihat yang kau buatHati hati gunakan badanmuHati hati gunakan tubuhmuJangan sampai kau berbuat yang salahKarena Tuhan melihat yang kau perbuatHati hati kau pergunakan tubuhmuKarena Tuhan melihat semua yang kau perbuatHati-hati kau pergunakan tubuhmu,1,0,0
44,Lirik Lagu Hompimpa - Joshua,Hompimpa uik uik uikHompimpa? hompimpaUik uik uik hompimpaKawan kawan semua kemariKita berkumpul disiniJangan ada yang tertinggalKita bermain hompimpaHompimpa uik uik uikHompimpaAku ajarkan caranyaSemuanya harus mengikutiBalik tangan di depan dadaYang menyendiri dia yang jadiHuuu hompimpaAyo ayo kita berlariAyo ayo kita sembunyiAyo ayo aduuuh?.Asyiknya memang asyikMain hompimpa.. huw..,1,0,0
45,Lirik Lagu Ibu Kita Kartini - Lagu Anak Indonesia,"Ibu kita Kartini, putri sejatiPutri Indonesia, harum namanyaIbu kita Kartini, pendekar bangsaPendekar kaumnya untuk merdekaWahai ibu kita KartiniPutri yang muliaSungguh besar cita-citanyaBagi Indonesia",1,0,0
46,Lirik Lagu Ibu Pertiwi - Lagu Anak Indonesia,Ku lihat ibu pertiwiSedang bersusah hatiAir matamu berlinangMas intanmu terkenangHutan gunung sawah lautanSimpanan kekayaanKini ibu sedang susahMerintih dan berdoaKu lihat ibu pertiwiKami datang berbaktiLihatlah putra-putrimuMenggembirakan ibuIbu kami tetap cintaPutramu yang setiaMenjaga harta pusakaUntuk nusa dan bangsa,1,0,0
47,Lirik Lagu Jangan Berisik - Joshua,Eh..jangan berisikAde kecil sedang boboKalau berisikAde tidak bisa boboKalau nangis lama diamnyaKencang sekaliMama jadi kebingunganPapa juga kebingunganAde sayang mamanya capekAde sayang nangis jangan lama-lama,1,0,0
48,Lirik Lagu Kapal Api - Lagu Anak Indonesia,Lihatlah sebuah titik jauh di tengah lautSemakin lama semakin jelasBentuk rupanyaItulah kapal api yang sedang berlayarAsapnya yang putih mengepul di udara,1,0,0
49,Lirik Lagu Kasih Ibu - Lagu Anak Indonesia,"Kasih ibu, kepada betaTak terhingga sepanjang masaHanya memberi,tak harap kembali,Bagai sang surya, menyinari dunia.",1,0,0
50,Lirik Lagu Ke Pasar Ikan - Lagu Anak Indonesia,"Hari Minggu, hari Minggu ke Pasar IkanDengan ayah dengan ibu beserta pamanKulihat ikan di dalam kolamBerbisik-bisik memberi salam",1,0,0
51,Lirik Lagu Kebun Binatang - Joshua,"Mama anterin, papa anterinAku pengin jalan-jalan kemanaLihat-lihat ke kebun binatangAda kuda yang disewaIh aku pengen naik tapi ngeri sekalihi..hiMama anterin, papa anterinAku pengin naik kudaTapi aku eh..sendirianKudanya masih liarAku takut dikejarMama, Papa tolong pegang talinyaKudanya galak sekaliGajahnya galak sekaliAku harus hati-hatiHewannya banyak yang liarTakutnya aku dikejarMama, Papa temani Joshua",1,0,0
52,Lirik Lagu Kebunku - Lagu Anak Indonesia,"Lihat kebunkuPenuh dengan bungaAda yang putih,dan ada yang merahSetiap hariKu siram semuaMawar melati,semuanya indah!",1,0,0
53,Lirik Lagu Kelinciku,Kelinciku kelinciku kau manis sekali melompat kian kemari sepanjang hari aku ingin menemani sepulang sekolah bersamamu lagi menari nari,1,0,0
54,Lirik Lagu Keranjang Sampah - Lagu Anak Indonesia,Jika ku makan pisangTidak dengan kulitnyaKulit ku lempar keranjangKeranjang sampah namanyaKeranjang sampah namanya,1,0,0
55,Lirik Lagu Keti Dan Kita - Joshua,Dua anjingku lucu sekaliSi keti bernyanyi sambil berlariDua anjing ku pintar sekaliSi kita berlari goda si ketiKeti dan kita tidak bermusuhanKeti dan kita tidak bikin jengkelAku tak mau bikin bermusuhanAku tak mau bikin salahKeti dan kita anjing ku sayangiKeti dan kita kemari aduhSenangnya senangnya keti dan kita ayo berlari lariDua anjingku pintar sekaliBerdua bernyanyi sambil berlari,1,0,0
56,Lirik Lagu Kring Kring - Lagu Anak Indonesia,Kring-kring-kring ada sepedaSepedaku roda tigaKu dapat dari ayahKarena rajin belajarTok-tok-tok ada sepatuSepatuku kulit lembuKudapat dari ibuKarena rajin membantu,1,0,0
57,Lirik Lagu Kucing Yang Pintar - Joshua,Kupunya kucing lucu sekaliKumisnya panjangWarnanya belangSungguh kusayangSetiap hari aku selalu bermainMain dengan si kucingMama Papa senangAkupun senangSuatu hari lihat si kucing dudukSendiri di atas kursiAsyik sekaliBila kupanggil dia berlariAku bernyanyi dia menariKucingku sayang pintar sekaliBila minta makan dia bilang kepadakuMeang meong meang meongItu tandanya laparBila minta minum dia bilang kepadakuKucing yang pintar kucingku sayang,1,0,0
58,Lirik Lagu Kuda - Joshua,Jalan jalan ke Taman MiniNaik kuda kuda ku sendiriLihat lihat taman wisataNaik perosotanKuda-kudaanGenjot-genjotan jot genjotanYun ayunanPerosotan ayoKuda ku lariKuda ku lariKuda ku makanKuda ku makanKuda ku makanKuda ku makanJangan kekenyanganMuter-muter ke Taman MiniNaik kuda kuda ku sendiriLihat lihat taman wisataJot genjotan yun ayunanPerosotan ayoKuda ku makanKuda ku makanKuda ku makanKuda ku makanJangan kekenyangan,1,0,0
59,Lirik Lagu Kukuruyuk,Kuku Kukuruyuk Begitulah BunyinyaKakinya bertanduk Hewan apa namanyaKuku Kukuruyuk Begitulah BunyinyaKakinya bertandukAyam Jantan namanyaPotong-potong rotiRotinya Pakai MentegaAnak yang baik hatiPasti di sayang mamaPotong-potong rotiRotinya Pakai MentegaAnak yang baik hatiPasti di sayang mama,1,0,0
60,Lirik Lagu Kunang Kunang - Lagu Anak Indonesia,"Kunang-kunang, hendak ke manaKelap-kelip indah sekaliGemerlap, bersinarSeperti bintang di malam hariKunang-kunang, terbang ke siniKe tempat ku singgah dahuluKemari, kemariHinggaplah di telapak tangan ku",1,0,0
61,Lirik Lagu Kupu Kupu - Lagu Anak Indonesia,Kupu-kupu yang lucuKemana engkau terbangHilir mudik mencariBunga-bunga yang kembangBerayun ayunPada tangkai yang lemahTidakkah sayapmuMerasa lelahAdik siapa ituPunya empat mataMungkin mencari kamuLekaslah sediaJangan buang kulit pisang sembaranganDi sana telah ada keranjang kotoranBila adik yang baru pandai berjalanTerinjak kulit pisang di kaki kananAdik jatuh menangis mengerang erangSebab salah siPembuang kulit pisangLihat ibu keretaku yang baruCukup besar buat ayah dan ibuRoda empat buatanku sendiriDari kulit buah jeruk bali,1,0,0
62,Lirik Lagu Layang - Bembi,"Dari sebatang bambu kau ku rangkaiKu isi dengan kertas-kertaskuKu hiasi dengan warna-warniAgar terlihat cantik indah dilihat di mataWahai angin tolong bantu akuTerbangkan layang ku, biar hiasi langit biruMenari bergoyang di angkasaLangit yang cerah akan membuatmu tenangJanji kau akan selalu terbangHembusan angin tiup tubuhmu yang ringanJanji kau akan membuatmu senangTapi bila hujan datangTali kita putus dan menghilangGelisah di jiwa",1,0,0
63,Lirik Lagu Layang Layang - Lagu Anak Indonesia,Ku ambil buluh sebatangKu potong sama panjangKu raut dan ku timbang dengan benangKu jadikan layang-layangBermain berlariBermain layang-layangBerlari ku bawa ke tanah lapangHatiku riang dan senang,1,0,0
64,Lirik Lagu Libur Telah Tiba - Tasya,"Libur telah tiba,libur telah tibaHore,Hore,HoreSimpanlah tas dan bukumuLupakan keluh kesahmuLibur telah tiba,libur telah tibaHatiku gembira",1,0,0
65,Lirik Lagu Malu Aku Malu - Joshua,"La la la la la la la la la la la laMalu aku malu, malu sama temankuGara-gara sering membolosDi setrap guru, tidak dispilin di dalam kelasMain meluluTak pernah dengar nasehat guru dan perintahnyaMalu aku malu, malu sama temankuGara-gara sering menyontekDimarahi guru, di ulangan ku selalu sajaku dapat tigaTak pernah aku mendapat nilai lebih dari ituBerdiri di depan kelas ku sendirianSemua teman-temanku menawarkan diriku ahay....Malu aku malu, malu sama temankuGara-gara nilai rapotku banyak merahnyaTak akan lagi membolos susah sendiriDan takkan lagi menyontek malu sendirio..o..o..o..malu sekali o..o..o..o..Tak akan lagi aku membolos susah sendiriDan takkan lagi aku menyontek malu sendiri",1,0,0
66,Lirik Lagu Meang Meong - Joshua,Meang meong kucingkuMeang meong perutnya laparSehari belum makan sayangEh sayang sayang sungguh-sungguh kasihanWaktu kuberi makanDia makan lahap sekaliSayang eh sayangSayang datang anjing yang nakalKucingku ketakutanDia lari kencang sekaliMeang meong kucingkuMeang meong di atas gentengTidak berani turun sayang eh sayangSayang sungguh-sungguh kasihanDia tak jadi makanWalau perut lapar sekaliSayang eh sayang sayangAnjing kuusir pergiKucingku datang lagiDia makan lahap sekali,1,0,0
67,Lirik Lagu Mobilku - Lagu Anak Indonesia,Dodoli dodoli pretSuara mobilkuRodanya dari karetWarnanya biru Dodoli dodoli pretNyetir sendiriDisetop pak polisiKu harus b'renti,1,0,0
68,Lirik Lagu Naik Becak - Lagu Anak Indonesia,"Saya mau tamasyaBerkeliling keliling kotaHendak melihat-lihat keramaian yang adaSaya panggilkan becakKereta tak berkudaBecak, becak, coba bawa sayaSaya duduk sendiri sambil mengangkat kakiMelihat dengan asyikKe kanan dan ke kiriLihat becakku lariBagaikan tak berhentiBecak, becak, jalan hati-hati",1,0,0
69,Lirik Lagu Naik Delman - Lagu Anak Indonesia,Pada Hari Minggu ku turut ayah ke kotaNaik delman istimewa ku duduk di mukaKu duduk samping pak kusir yang sedang bekerjaMengendarai kuda supaya baik jalannyaTuk-tik-tak-tik-tuk tik-tak-tik-tuk tik-tak-tik-tukTuk-tik-tak-tik-tuk tik-tak suara s'patu kuda,1,0,0
70,Lirik Lagu Naik Gunung - Lagu Anak Indonesia,"Naik - naik, ke puncak gunungTinggi - tinggi sekaliNaik - naik, ke puncak gunungTinggi - tinggi sekaliKiri - kanan kulihat sajaBanyak pohon cemaraKiri - kanan kulihat sajaBanyak pohon cemara",1,0,0
71,Lirik Lagu Naik Kereta Api - Lagu Anak Indonesia,Naik kereta api ... tut ... tut ... tutSiapa hendak turutKe Bandung ... SurabayaBolehlah naik dengan percumaAyo temanku lekas naikKeretaku tak berhenti lamaCepat keretaku jalan ...tut...tut...tutBanyak penumpang turutK'retaku sudah penatKarena beban terlalu beratDi sinilah ada stasiunPenumpang semua turun,1,0,0
72,Lirik Lagu Nama Nama Hari,Senin SelasaRabu KamisJumat Sabtu MingguItu Nama-nama HariRajin belajar lekas pintarAnak yang pemalas tidak naik kelasSenin SelasaRabu KamisJumat Sabtu MingguItu Nama-nama HariRajin belajar lekas pintarAnak yang pemalas tidak naik kelas,1,0,0
73,Lirik Lagu Nenek Moyangku - Lagu Anak Indonesia,Nenek moyangku orang pelautGemar mengarung luas samudraMenerjang ombak tiada takutMenempuh badai sudah biasaAngin bertiup layar terkembangOmbak berdebur di tepi pantaiPemuda b'rani bangkit sekarangKe laut kita beramai-ramaiBelalai gajah panjangBulu kucingku belangTuhan maha penyayangAnak-anak disayang,1,0,0
74,Lirik Lagu Nina Bobo - Lagu Anak Indonesia,"Nina bobo oh nina boboKalau tidak bobo di gigit nyamukNina bobo oh nina boboKalau tidak bobo di gigit nyamukTidurlah sayang, adik ku manisBobo lah bobo adik ku sayangKalau tidak bobo di gigit nyamukNina bobo oh nina boboKalau tidak bobo di gigit nyamuk",1,0,0
75,Lirik Lagu Pak Sopir - Joshua,Awas pak jangan mengebutBanyak anak nyebrangHati-hati pelan pak supirLampunya merah jangan ngebut berbahayaMetro mini ngebutBis pun ikut ngebutBajaj ikut-ikutanPak polisi biungAwas pak supir lampunyaMerah jangan ngebut berbahaya,1,0,0
76,Lirik Lagu Paman Datang - Tasya,"Kemarin paman datang,pamanku dari desaDibawakannya rambutan,pisangDan sayur mayur segala rupaBercerita paman tentang ternaknyaBerkembang biak semuaPadaku,paman berjanjiMengajak libur di desaHatiku girang tidak terperiTerbayang sudah aku disanaMandi di sungai,turun ke sawahMenggiring kerbau ke kandang",1,0,0
77,Lirik Lagu Panas Sekali - Joshua,"Panas sekali kering sekaliDuh mama, duh papaPanas mahPanas sekali haus sekaliDuh mama, duh papaHaus sekaliKalau begini enaknya minum duluKalau begini enaknya berenang lagiKalau begini enaknya minum duluKalau begini enaknya mandi lagi",1,0,0
78,Lirik Lagu Pelangi - Lagu Anak Indonesia,"Pelangi pelangiAlangkah indahmuMerah, kuning, hijauDi langit yang biruPelukismu Agung, siapa geranganPelangi, pelangi, ciptaan Tuhan!",1,0,0
